species,latitude,longitude
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.60988,-68.1065
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.60988,-68.1065
Athene cunicularia,43.502842,-65.405655
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.609974,-68.10639
Athene cunicularia,43.49991,-65.40388
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.855137,-64.20503
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609406,-68.114975
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,43.496563,-65.40394
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,43.49991,-65.40388
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.602055,-68.12639
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.60981,-68.10679
Athene cunicularia,48.609894,-68.10641
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.49982,-65.4037
Athene cunicularia,48.611294,-68.10167
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.499157,-65.40421
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609848,-68.10641
Athene cunicularia,43.522427,-65.41135
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.499935,-65.40371
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,43.62827,-79.32917
Athene cunicularia,43.49991,-65.40388
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.60988,-68.1065
Athene cunicularia,48.298496,-78.14283
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.505222,-65.40641
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.60983,-68.10674
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,48.6096,-68.107765
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.495556,-65.40383
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,43.49991,-65.40388
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.609837,-68.10672
Athene cunicularia,43.499756,-65.403915
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609894,-68.10641
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,48.6099,-68.10641
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,48.609894,-68.10641
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.50004,-65.40373
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,43.499676,-65.403854
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,45.426876,-76.34326
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.51633,-65.41003
Athene cunicularia,42.26359,-81.94591
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.502842,-65.405655
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,43.49991,-65.40388
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609936,-68.10634
Athene cunicularia,48.609894,-68.10641
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.496563,-65.40394
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.499935,-65.40371
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.501293,-65.40082
Athene cunicularia,48.85522,-64.20506
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.60988,-68.1065
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,44.722523,-66.74973
Athene cunicularia,44.72889,-66.75395
Athene cunicularia,43.500034,-65.40385
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,41.774384,-82.660446
Athene cunicularia,43.496857,-65.404686
Athene cunicularia,48.84918,-64.20826
Athene cunicularia,43.49991,-65.40388
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,44.71289,-66.79692
Athene cunicularia,43.707775,-65.04504
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.499855,-65.40365
Athene cunicularia,42.26359,-81.94591
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.49982,-65.4037
Athene cunicularia,43.500244,-65.40376
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.601086,-68.12782
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.854774,-64.20539
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,48.610058,-68.10617
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.49887,-65.40449
Athene cunicularia,45.426876,-76.34326
Athene cunicularia,48.609833,-68.106804
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,49.084101,-107.416682
Athene cunicularia,49.108024,-107.455736
Athene cunicularia,49.189791,-107.519803
Athene cunicularia,49.097931,-107.410275
Athene cunicularia,49.134271,-107.452399
Athene cunicularia,49.10957,-107.412609
Athene cunicularia,49.005259,-107.419388
Athene cunicularia,49.028145,-107.462515
Athene cunicularia,49.098763,-107.44785
Athene cunicularia,49.126227,-107.463039
Athene cunicularia,49.040343,-107.5371
Athene cunicularia,49.055268,-107.469056
Athene cunicularia,49.213144,-107.407806
Athene cunicularia,49.130081,-107.486426
Athene cunicularia,49.163508,-106.432554
Athene cunicularia,49.10794,-106.550067
Athene cunicularia,49.17964,-107.505483
Athene cunicularia,49.067401,-106.47396
Athene cunicularia,49.129143,-107.510159
Athene cunicularia,49.015772,-106.436135
Athene cunicularia,49.075339,-106.592246
Athene cunicularia,50.136741,-120.421919
Athene cunicularia,49.101033,-106.510325
Athene cunicularia,49.056711,-107.463799
Athene cunicularia,49.188381,-106.420846
Athene cunicularia,49.334096,-119.789969
Athene cunicularia,49.182684,-106.537071
Athene cunicularia,49.219959,-107.544665
Athene cunicularia,49.003393,-107.547079
Athene cunicularia,49.304755,-107.585064
Athene cunicularia,49.05465,-106.446636
Athene cunicularia,50.244815,-107.629578
Athene cunicularia,49.019183,-107.464773
Athene cunicularia,49.074968,-106.513731
Athene cunicularia,49.078488,-106.458319
Athene cunicularia,49.118192,-107.587591
Athene cunicularia,49.185634,-106.489014
Athene cunicularia,50.937468,-111.234641
Athene cunicularia,48.411514,-123.319905
Athene cunicularia,49.302311,-107.590665
Athene cunicularia,49.026848,-103.012172
Athene cunicularia,49.048708,-107.493487
Athene cunicularia,62.654076,-116.164494
Athene cunicularia,49.196914,-107.56333
Athene cunicularia,49.097054,-107.596026
Athene cunicularia,49.346146,-107.535199
Athene cunicularia,49.04553,-106.548679
Athene cunicularia,49.075966,-106.507869
Athene cunicularia,49.041063,-106.488872
Athene cunicularia,50.259577,-105.00954
Athene cunicularia,49.326854,-119.683973
Athene cunicularia,49.286502,-107.555104
Athene cunicularia,49.084579,-106.56931
Athene cunicularia,49.175956,-107.514102
Athene cunicularia,49.270088,-107.495869
Athene cunicularia,49.008988,-107.581069
Athene cunicularia,49.27569,-119.724904
Athene cunicularia,49.339267,-119.784402
Athene cunicularia,49.358719,-119.411155
Athene cunicularia,49.108405,-107.42235
Athene cunicularia,49.137607,-109.112828
Athene cunicularia,49.38467,-119.7518
Athene cunicularia,49.269016,-119.679959
Athene cunicularia,49.314845,-107.46022
Athene cunicularia,49.370556,-119.604996
Athene cunicularia,49.258888,-119.6226
Athene cunicularia,49.154184,-103.229115
Athene cunicularia,49.6833,-124.9333
Athene cunicularia,49.4167,-120
Athene cunicularia,50.2333,-119.35
Athene cunicularia,49.6833,-124.9333
Athene cunicularia,50.2333,-119.35
Athene cunicularia,43.737243,-80.296331
Athene cunicularia,43.704545,-80.220275
Athene cunicularia,43.792439,-80.37818
Athene cunicularia,49.033333,-119.466667
Athene cunicularia,49.156783,-122.211215
Athene cunicularia,52.9399,-106.4509
Athene cunicularia,49.1755,-101.6275
Athene cunicularia,49.211469,-123.070377
Athene cunicularia,49.049782,-107.256507
Athene cunicularia,49.264845,-119.65503
Athene cunicularia,49.250418,-119.756722
Athene cunicularia,43.480395,-65.550912
Athene cunicularia,49.238234,-107.568216
Athene cunicularia,49.338515,-119.708333
Athene cunicularia,43.547821,-65.578223
Athene cunicularia,43.408413,-65.432925
Athene cunicularia,49.334792,-119.654689
Athene cunicularia,43.455471,-65.401593
Athene cunicularia,43.536812,-65.415157
Athene cunicularia,49.324107,-123.006874
Athene cunicularia,49.066728,-107.476864
Athene cunicularia,49.067146,-107.586389
Athene cunicularia,43.461492,-65.420265
Athene cunicularia,49.157951,-107.405825
Athene cunicularia,49.015886,-107.373935
Athene cunicularia,49.173064,-107.253399
Athene cunicularia,43.513985,-65.415101
Athene cunicularia,49.312017,-107.540554
Athene cunicularia,49.251569,-107.515107
Athene cunicularia,49.115573,-107.590179
Athene cunicularia,49.285453,-107.578119
Athene cunicularia,49.341539,-107.441063
Athene cunicularia,49.393493,-107.508746
Athene cunicularia,49.215514,-107.417996
Athene cunicularia,43.591654,-65.458232
Athene cunicularia,49.091943,-107.347468
Athene cunicularia,43.531678,-65.498678
Athene cunicularia,49.039546,-107.318642
Athene cunicularia,43.501519,-65.564114
Athene cunicularia,49.282039,-107.532492
Athene cunicularia,49.008725,-109.580588
Athene cunicularia,49.29704,-107.492865
Athene cunicularia,43.540884,-65.496128
Athene cunicularia,49.051404,-107.067863
Athene cunicularia,43.564974,-65.477306
Athene cunicularia,43.448229,-65.454527
Athene cunicularia,43.507875,-65.59857
Athene cunicularia,49.314561,-112.286915
Athene cunicularia,49.069622,-107.368617
Athene cunicularia,49.071803,-107.348219
Athene cunicularia,49.007571,-107.393827
Athene cunicularia,43.577943,-65.402029
Athene cunicularia,49.161224,-107.478916
Athene cunicularia,49.092755,-107.325343
Athene cunicularia,49.343889,-107.472483
Athene cunicularia,50.065764,-109.462448
Athene cunicularia,49.167599,-107.279466
Athene cunicularia,43.495822,-65.427567
Athene cunicularia,49.217588,-107.432274
Athene cunicularia,49.107769,-107.22095
Athene cunicularia,49.259893,-107.47121
Athene cunicularia,49.039336,-109.508717
Athene cunicularia,49.277376,-107.53566
Athene cunicularia,49.182305,-107.255602
Athene cunicularia,49.154302,-107.654554
Athene cunicularia,49.14805,-107.590646
Athene cunicularia,49.042017,-107.310318
Athene cunicularia,49.300514,-107.590419
Athene cunicularia,50.13227,-112.825755
Athene cunicularia,49.156617,-107.571084
Athene cunicularia,49.103877,-107.170561
Athene cunicularia,49.262149,-107.597101
