Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.09004E-3,26.793135278,0.623620493,0.037979564,0.226666667,0.28
1.09905E-3,27.01289219,0.626647527,0.037786775,0.229333333,0.288
1.10419E-3,27.343437897,0.6283643,0.03749759,0.234666667,0.288
1.10908E-3,27.565231691,0.62998974,0.0373048,0.24,0.288
1.11145E-3,27.787452452,0.630776028,0.037112011,0.245333333,0.288
1.11405E-3,28.010190781,0.631633409,0.036919221,0.248,0.288
1.12498E-3,28.281386227,0.635227202,0.036630037,0.248,0.288
1.1349E-3,28.574350727,0.638455874,0.036437247,0.250666667,0.296
1.14104E-3,28.802075984,0.640440503,0.036244457,0.256,0.296
1.14539E-3,29.030819981,0.641838373,0.036051668,0.261333333,0.296
1.14899E-3,29.260470581,0.642994536,0.035858878,0.264,0.296
1.16737E-3,29.608877354,0.648828144,0.035569693,0.269333333,0.304
1.17461E-3,29.843746622,0.651098675,0.035376904,0.272,0.304
1.18522E-3,30.080764763,0.65440195,0.035184114,0.277333333,0.304
1.20265E-3,30.3211184,0.659760699,0.034991324,0.282666667,0.312
1.21522E-3,30.563276951,0.663573155,0.034798535,0.285333333,0.328
1.21945E-3,30.807005087,0.664846345,0.034605745,0.288,0.328
1.22298E-3,31.051361102,0.665906129,0.034412955,0.288,0.328
1.23056E-3,31.296724385,0.668167713,0.034220166,0.293333333,0.328
1.24511E-3,31.544366807,0.672466625,0.034027376,0.296,0.328
1.24893E-3,31.793781456,0.673587858,0.033834586,0.298666667,0.336
1.25099E-3,32.043964505,0.674189407,0.033641797,0.304,0.336
1.25535E-3,32.294816496,0.675458918,0.033449007,0.309333333,0.344
1.2596E-3,32.546702312,0.676694429,0.033256217,0.309333333,0.344
1.26949E-3,32.799947625,0.679547549,0.033063428,0.309333333,0.344
1.27829E-3,33.05473742,0.682065659,0.032870638,0.312,0.344
1.28403E-3,33.295457647,0.683697296,0.032677848,0.312,0.344
1.286E-3,33.568366342,0.684257111,0.032485059,0.312,0.352
1.29509E-3,33.826791574,0.686819052,0.032292269,0.314666667,0.352
1.30998E-3,34.088196786,0.690971437,0.032099479,0.317333333,0.36
1.32674E-3,34.35332235,0.695577929,0.03190669,0.32,0.376
1.33183E-3,34.619355698,0.696963926,0.0317139,0.325333333,0.376
1.34044E-3,34.753399244,0.699293605,0.031617505,0.328,0.376
1.34417E-3,35.021891883,0.700299651,0.031424716,0.330666667,0.376
1.34698E-3,35.291184669,0.701051344,0.031231926,0.336,0.376
1.34908E-3,35.56088705,0.701615217,0.031039136,0.341333333,0.376
1.35557E-3,35.831828405,0.703346826,0.030846347,0.346666667,0.376
